Offset(P)            #Ptr   #Hnd Access Name
0x00009a077e865940      1      1 RW-rwd \Device\HarddiskVolume2\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION
0x00009a077e865c20      3      0 RW-rwd \Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$Tops
0x00009a077e865d90      4      0 RW-rwd \Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$Tops:$T:$DATA
0x00009a077e866070     20      0 RW-rwd \Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog:$I30:$INDEX_ALLOCATION
0x00009a077e866630     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a077e8667a0     33      0 RW-rwd \Device\HarddiskVolume2\$ConvertToNonresident
0x00009a077e866d60  32769      1 RW-r-- \Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002
0x00009a077e866ed0  32769      1 RW-r-- \Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000005
0x00009a077e8790a0  32768      1 RW-rwd \Device\clfs\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x00009a077e879380     30      0 RW-rwd \Device\HarddiskVolume2\$Extend\$Reparse:$R:$INDEX_ALLOCATION
0x00009a077e879660     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a077e87a070  32769      1 RWDrwd \Device\clfs\Device\HarddiskVolume2\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x00009a077e87a1e0     31      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a077e87abf0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\Dumpata.sys
0x00009a077e87fa80     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\dumpfve.sys
0x00009a077e8c27d0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\tbs.sys
0x00009a077ea057e0      3      0 RW-rwd \Device\HarddiskVolume1\$Secure:$SII:$INDEX_ALLOCATION
0x00009a077ea06360      3      0 RW-rwd \Device\HarddiskVolume1\$Extend\$Deleted:$I30:$INDEX_ALLOCATION
0x00009a077ea06920     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\monitor.sys
0x00009a077ea08ba0  32769      1 RWDrwd \Device\clfs\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x00009a077ea5f390     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\ahcache.sys
0x00009a077ea5f670     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\udfs.sys
0x00009a077ea60360     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a077ea604d0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\bam.sys
0x00009a077ea60c00     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a077ea61eb0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\E1G6032E.sys
0x00009a077ea62470     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\kdnic.sys
0x00009a077ea62ba0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_7500cffa210c6946\CompositeBus.sys
0x00009a077ea62e80     16      0 RW-r-- \Device\HarddiskVolume2\Windows\bootstat.dat
0x00009a077eaa5220     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\usbuhci.sys
0x00009a077eaa5390     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\usbport.sys
0x00009a077eaa64d0     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\kbdclass.sys
0x00009a077eaa7610     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\i8042prt.sys
0x00009a077eaa8ba0     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\ks.sys
0x00009a077eb73c40     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\hidclass.sys
0x00009a077eb744e0     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\hidusb.sys
0x00009a077eb74650     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\usbd.sys
0x00009a077eb751d0     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\hidparse.sys
0x00009a077eb76760     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\mouhid.sys
0x00009a077eb79840     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\lltdio.sys
0x00009a077eb7a810     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\msquic.sys
0x00009a077f110d40      7      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\gdi32full.dll
0x00009a077f1111f0     12      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\difxapi.dll
0x00009a077f1116a0     10      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\msvcp_win.dll
0x00009a077f2e39c0      3      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\kernel32.dll
0x00009a077f2e3e70      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\bcryptprimitives.dll
0x00009a077f3a6820      1      0 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
0x00009a077f3a6cd0  32765      1 RWDrwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\Default\Cache\data_0
0x00009a077f3a7310  32129      1 RWDrwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\Default\Cache\data_1
0x00009a077f3a74a0  32784      1 -W-rw- \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\Default\shared_proto_db\metadata\LOG
0x00009a077f3a77c0  32768      1 RWDrwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\Default\Cache\index
0x00009a077f3a7950  32768      1 RW-rw- \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\Default\shared_proto_db\metadata\LOCK
0x00009a077f3a7c70  32766      1 R--rwd \Device\HarddiskVolume2\Windows\Fonts\segoeuib.ttf
0x00009a077f3a7e00  32749      1 RWDrwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\Default\Cache\data_2
0x00009a077f3a82b0  32735      1 RWDrwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\Default\Cache\data_1
0x00009a077f3a8760  32768      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\crypt32.dll.mui
0x00009a077f3a8c10     13      0 R--r-d \Device\HarddiskVolume2\Program Files\WindowsApps\Microsoft.WindowsStore_12107.1001.15.0_x64__8wekyb3d8bbwe\WinStore.App.exe
0x00009a077f3aa1f0  32747      1 RW-rw- \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\Default\QuotaManager-journal
0x00009a077f3aa380  32760      1 RW-rw- \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\Default\load_statistics.db
0x00009a077f3aa830  65553      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\Microsoft_WindowsCalculator_8wekyb3d8bbwe!App
0x00009a077f3aab50  32766      1 ------ \Device\NamedPipe\LOCAL\mojo.3652.8084.15910820328547811303
0x00009a077f3aace0     33      0 RW-rwd \Device\HarddiskVolume2\$ConvertToNonresident
0x00009a077f3ab960  32693      1 ------ \Device\Afd\Endpoint
0x00009a077f3ac130  32768      1 ------ \Device\NamedPipe\LOCAL\mojo.3652.8084.15910820328547811303
0x00009a077f3ac2c0  32765      1 R--rw- \Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\93.0.961.38\icudtl.dat
0x00009a077f3ac5e0  32769      1 ------ \Device\NamedPipe\PIPE_EVENTROOT\CIMV2SCM EVENT PROVIDER
0x00009a077f3ac770  32765      1 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\93.0.961.38\msedge_200_percent.pak
0x00009a077f3aca90  32765      1 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\93.0.961.38\resources.pak
0x00009a077f3ad0d0      1      1 -W-rw- \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\Default\shared_proto_db\metadata\MANIFEST-000001
0x00009a077f3ad580  32784      1 -W-rw- \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Microsoft\Edge\User Data\Default\Session Storage\LOG
0x00009a077f3ada30  32765      1 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\93.0.961.38\Locales\en-US.pak
0x00009a077f3b2080  32707      1 ------ \Device\Afd\Endpoint
0x00009a077f3b3340  32766      1 R--rwd \Device\HarddiskVolume2\Windows\Fonts\segoeui.ttf
0x00009a077f3b3ca0  32767      1 R--rw- \Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\93.0.961.38
0x00009a077f3b5280  32768      1 ------ \Device\NamedPipe\LOCAL\mojo.3652.8084.13619270173251618659
0x00009a077f3b5410     16      0 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\93.0.961.38\telclient.dll
0x00009a077f3b5730      1      0 RW-rwd \Device\HarddiskVolume2\$ConvertToNonresident
0x00009a077f3b58c0     14      0 R--r-- \Device\HarddiskVolume2\Windows\Fonts\timesbd.ttf
0x00009a077f3b5be0  32765      1 ------ \Device\NamedPipe\LOCAL\mojo.3652.10620.4311363679738942878
0x00009a077f3b6b80  32765      1 R--rw- \Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\93.0.961.38\v8_context_snapshot.bin
0x00009a077f3b7b20  32711      1 ------ \Device\Afd\Endpoint
0x00009a077f3bb4f0  32654      1 ------ \Device\Afd\Endpoint
0x00009a077f3bb680  29996      1 ------ \Device\NamedPipe\LOCAL\mojo.3652.10620.11518195220616668541
0x00009a077f3bb9a0  65536      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\Microsoft_WindowsCalculator_8wekyb3d8bbwe!App
0x00009a077f3bbb30  65536      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\Microsoft_WindowsCalculator_8wekyb3d8bbwe!App
0x00009a077f3bc940  32765      1 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\93.0.961.38\resources.pak
0x00009a077f3bcdf0  32709      1 ------ \Device\Afd\Endpoint
0x00009a077f3be3d0  32768      1 ------ \Device\NamedPipe\LOCAL\mojo.3652.8084.17034786974549985172
0x00009a077f3be880      1      0 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
0x00009a077f3c3380  65534      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\MSEdge
0x00009a077f3c36a0  32768      1 ------ \Device\NamedPipe\LOCAL\mojo.3652.8084.10243279050329878004
0x00009a077f3c3830      1      0 R--r-d \Device\HarddiskVolume2\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
0x00009a077f3c3ce0  32294      1 ------ \Device\NamedPipe\LOCAL\mojo.3652.10620.16527122730216310260
0x00009a077f3c4190  65534      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\MSEdge
0x00009a077f3c4640  65538      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}_WindowsPowerShell_v1_0_PowerShell_ISE_exe
0x00009a077f3c5c20  65535      3 R--r-- \Device\HarddiskVolume2\Windows\Fonts\arial.ttf
0x00009a077f3c5db0  65553      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\microsoft_windowscommunicationsapps_8wekyb3d8bbwe!microsoft_windowslive_calendar
0x00009a077f3c60d0  32742      1 ------ \Device\Afd\Endpoint
0x00009a077f3c6580  65538      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\Microsoft_Windows_Explorer
0x00009a077f3c6a30  65536      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\Microsoft_MicrosoftStickyNotes_8wekyb3d8bbwe!App
0x00009a077f3c6ee0      1      1 R--rw- \Device\HarddiskVolume2\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.19041.1110_none_60b5254171f9507e
0x00009a077f3c81a0  32768      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\windows.ui.xaml.dll.mui
0x00009a077f3c84c0  32659      1 ------ \Device\NamedPipe\LOCAL\mojo.3652.10620.15069226383971284590
0x00009a077f3c8650  32768      1 R--rw- \Device\HarddiskVolume2\Users\Jimmie
0x00009a077f3c8e20     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a077f3c9460  65538      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\Microsoft_WindowsCalculator_8wekyb3d8bbwe!App
0x00009a077f3c9dc0  65538      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\{F38BF404-1D43-42F2-9305-67DE0B28FC23}_regedit_exe
0x00009a077f3ca400  65538      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}_WindowsPowerShell_v1_0_PowerShell_ISE_exe
0x00009a077f3ca8b0  65553      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\Microsoft_WindowsCamera_8wekyb3d8bbwe!App
0x00009a077f3cd2e0  32768      1 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.UI.Xaml.2.4_2.42007.9001.0_x64__8wekyb3d8bbwe\ActivationStore.dat.LOG1
0x00009a077f3cd470  32768      1 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.UI.Xaml.2.4_2.42007.9001.0_x64__8wekyb3d8bbwe\ActivationStore.dat.LOG2
0x00009a077f3cd790  32766      1 R--r-d \Device\HarddiskVolume2\Windows\Fonts\StaticCache.dat
0x00009a077f3cd920  32742      1 ------ \Device\Afd\Endpoint
0x00009a077f3cdc40      1      1 ------ \Device\DeviceApi\CMApi
0x00009a077f3cddd0     16      0 R--r-d \Device\HarddiskVolume2\Program Files\WindowsApps\Microsoft.UI.Xaml.2.4_2.42007.9001.0_x64__8wekyb3d8bbwe\Microsoft.UI.Xaml.dll
0x00009a077f3cebe0      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\InstallService.dll
0x00009a077f3cf220  65534      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\MSEdge
0x00009a077f3d1de0  65538      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\Microsoft_Windows_ControlPanel
0x00009a077f3d2100      1      0 R--r-d \Device\HarddiskVolume2\Windows\System32\svchost.exe
0x00009a077f3d2290      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\configmanager2.dll
0x00009a077f3d25b0  32763      1 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe\ActivationStore.dat
0x00009a077f3d2740  32768      1 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe\ActivationStore.dat.LOG1
0x00009a077f3d2a60  65534      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\MSEdge
0x00009a077f3d2bf0  65534      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}_WindowsPowerShell_v1_0_PowerShell_ISE_exe
0x00009a077f3d30a0  32768      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x00009a077f3d3230  65534      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}_WindowsPowerShell_v1_0_powershell_exe
0x00009a077f3d3550  65534      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}_WindowsPowerShell_v1_0_powershell_exe
0x00009a077f3d36e0  65534      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\{F38BF404-1D43-42F2-9305-67DE0B28FC23}_regedit_exe
0x00009a077f3d3870  65538      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}_notepad_exe
0x00009a077f3d3a00  32768      1 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe\ActivationStore.dat.LOG2
0x00009a077f3d3b90  65538      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\Microsoft_MicrosoftOfficeHub_8wekyb3d8bbwe!Microsoft_MicrosoftOfficeHub
0x00009a077f3d3eb0  65538      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}_msconfig_exe
0x00009a077f3d44f0      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a077f3d49a0  65538      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\{F38BF404-1D43-42F2-9305-67DE0B28FC23}_regedit_exe
0x00009a077f3d4e50  65538      2 R--rwd \Device\HarddiskVolume2\Users\Jimmie\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\Microsoft_WindowsCalculator_8wekyb3d8bbwe!App
0x00009a077f3d6430  32768      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x00009a077f3d68e0  32766      1 R--rwd \Device\HarddiskVolume2\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe\Assets\CalcMDL2.ttf
0x00009a077f3d6a70     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a077f3d9310  32766      1 R--rwd \Device\HarddiskVolume2\Windows\Fonts\seguisb.ttf
0x00009a077f3d9c70     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dmoleaututils.dll
0x00009a077f3dd190  32768      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x00009a077f3dd320      1      0 R--r-d \Device\HarddiskVolume2\Windows\System32\svchost.exe
0x00009a077f3dd640  32767      1 ------ \Device\DeviceApi\CMApi
0x00009a077f3dd7d0     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a077f3ddc80     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a077f3df0d0  32739      1 ------ \Device\Afd\Endpoint
0x00009a077f3df8a0     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Windows.Networking.dll
0x00009a077f3e14c0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\MbaeApiPublic.dll
0x00009a077f3e1970     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a077f3e2dc0  32224      1 ------ \Device\NamedPipe\LOCAL\mojo.3652.10620.5145966375377228201
0x00009a077f3e38b0     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a077f3e3d60     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a077f3e3ef0  32782      1 R--r-d \Device\HarddiskVolume2\Windows\ImmersiveControlPanel\en-US\SystemSettings.exe.mui
0x00009a077f3e4850  32276      1 ------ \Device\NamedPipe\LOCAL\mojo.3652.10620.5145966375377228201
0x00009a077f3e5ca0     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a077f621650      1      0 R--r-d \Device\HarddiskVolume2\Windows\System32\csrss.exe
0x00009a077f6217e0     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drivers\dxgmms2.sys
0x00009a077f69f3e0      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\setupapi.dll
0x00009a077f6b70c0     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\shlwapi.dll
0x00009a077f6c9700     14      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\normaliz.dll
0x00009a077f6d4620  32762      1 RW-r-d \Device\HarddiskVolume2\Windows\System32\LogFiles\WMI\LwtNetLog.etl
0x00009a077f6de3f0  32784      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\win32kbase.sys.mui
0x00009a077f6de710  32209      1 RW---- \Device\HarddiskVolume2\Windows\System32\config\SYSTEM
0x00009a077f6de8a0     22      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x00009a077f6dea30  32762      1 RW---- \Device\HarddiskVolume2\hiberfil.sys
